
I adore winter #favorite
I dislike cheese #fail
skiing is really bad #hateit
skiing is rubbish #nightmare
skiing is terrible #hateit
skiing is terrible #thumbs-down
skiing is the best #favorite
skiing is the best #toptastic
summer is brilliant #bestever
summer is brilliant #loveit
summer is fantastic #thumbs-up
summer is great #bestever
summer is great #brilliant
summer is great #loveit
summer is really bad #rubbish
summer is really bad #worstever
summer is rubbish #fail
summer is rubbish #nightmare
summer is terrible #hateit
summer is the best #favorite
tea is awful #fail
tea is brilliant #favorite
tea is fantastic #bestever
tea is great #brilliant
tea is great #toptastic
tea is really bad #fail
tea is really bad #hateit
tea is really bad #thumbs-down
tea is rubbish #hateit
tea is rubbish #thumbs-down
tea is the best #brilliant
tea is the best #toptastic
that band is brilliant #favorite
that band is great #favorite
that band is great #toptastic
that band is really bad #fail
that band is really bad #nightmare
that band is really bad #worstever
that band is rubbish #hateit
that band is rubbish #rubbish
that band is terrible #rubbish
that band is terrible #worstever
that band is the best #thumbs-up
that film is awful #hateit
that film is awful #rubbish
that film is awful #thumbs-down
that film is awful #worstever
that film is brilliant #favorite
that film is brilliant #loveit
that film is brilliant #loveit
that film is fantastic #brilliant
that film is fantastic #favorite
that film is fantastic #thumbs-up
that film is fantastic #toptastic
that film is fantastic #toptastic
that film is great #brilliant
that film is great #loveit
that film is great #thumbs-up
that film is great #toptastic
that film is really bad #fail
that film is really bad #rubbish
that film is really bad #rubbish
that film is really bad #worstever
that film is terrible #hateit
that film is terrible #rubbish
that film is terrible #thumbs-down
that film is the best #bestever
that film is the best #thumbs-up
that movie is awful #fail
that movie is awful #nightmare
that movie is awful #rubbish
that movie is awful #thumbs-down
that movie is awful #thumbs-down
that movie is awful #worstever
that movie is brilliant #brilliant
that movie is brilliant #favorite
that movie is brilliant #loveit
that movie is brilliant #loveit
that movie is brilliant #thumbs-up
that movie is brilliant #thumbs-up
that movie is fantastic #bestever
that movie is fantastic #bestever
that movie is fantastic #thumbs-up
that movie is great #loveit
that movie is great #thumbs-up
that movie is great #toptastic
that movie is really bad #hateit
that movie is really bad #nightmare
that movie is really bad #rubbish
that movie is really bad #thumbs-down
that movie is really bad #worstever
that movie is rubbish #thumbs-down
that movie is rubbish #thumbs-down
that movie is rubbish #worstever
that movie is terrible #fail
that movie is terrible #fail
that movie is terrible #hateit
that movie is terrible #hateit
that movie is terrible #nightmare
that movie is terrible #thumbs-down
that movie is the best #bestever
that movie is the best #favorite
that movie is the best #loveit
that movie is the best #thumbs-up
that movie is the best #toptastic
the holidays is awful #nightmare
the holidays is brilliant #bestever
the holidays is fantastic #toptastic
the holidays is great #thumbs-up
the holidays is great #toptastic
the holidays is really bad #hateit
the holidays is rubbish #hateit
the holidays is rubbish #thumbs-down
the holidays is the best #brilliant
the holidays is the best #favorite
this band is awful #rubbish
this band is awful #thumbs-down
this band is brilliant #loveit
this band is brilliant #toptastic
this band is fantastic #brilliant
this band is fantastic #thumbs-up
this band is great #bestever
this band is great #brilliant
this band is really bad #hateit
this band is really bad #worstever
this band is rubbish #fail
this band is rubbish #rubbish
this band is rubbish #worstever
this band is terrible #rubbish
this band is the best #bestever
this band is the best #brilliant
this band is the best #loveit
this band is the best #thumbs-up
this book is awful #fail
this book is awful #rubbish
this book is awful #thumbs-down
this book is awful #worstever
this book is awful #worstever
this book is brilliant #favorite
this book is brilliant #favorite
this book is brilliant #thumbs-up
this book is fantastic #brilliant
this book is fantastic #favorite
this book is fantastic #loveit
this book is fantastic #toptastic
this book is fantastic #toptastic
this book is great #brilliant
this book is great #loveit
this book is great #thumbs-up
this book is great #toptastic
this book is really bad #fail
this book is really bad #fail
this book is really bad #hateit
this book is really bad #rubbish
this book is really bad #thumbs-down
this book is really bad #thumbs-down
this book is really bad #worstever
this book is rubbish #fail
this book is rubbish #rubbish
this book is rubbish #rubbish
this book is rubbish #worstever
this book is rubbish #worstever
this book is terrible #hateit
this book is terrible #nightmare
this book is terrible #rubbish
this book is the best #brilliant
this book is the best #brilliant
this book is the best #favorite
this book is the best #loveit
this book is the best #toptastic
this game is awful #fail
this game is awful #hateit
this game is awful #nightmare
this game is awful #rubbish
this game is brilliant #favorite
this game is brilliant #loveit
this game is brilliant #toptastic
this game is fantastic #bestever
this game is fantastic #bestever
this game is fantastic #brilliant
this game is fantastic #thumbs-up
this game is fantastic #toptastic
this game is great #loveit
this game is great #thumbs-up
this game is great #toptastic
this game is really bad #hateit
this game is really bad #thumbs-down
this game is really bad #thumbs-down
this game is rubbish #hateit
this game is rubbish #hateit
this game is rubbish #nightmare
this game is rubbish #thumbs-down
this game is terrible #fail
this game is terrible #hateit
this game is terrible #nightmare
this game is terrible #rubbish
this game is terrible #thumbs-down
this game is terrible #worstever
this game is terrible #worstever
this game is the best #favorite
this game is the best #loveit
this game is the best #thumbs-up
this game is the best #toptastic
this game is the best #toptastic
this team is awful #fail
this team is awful #hateit
this team is awful #nightmare
this team is brilliant #brilliant
this team is brilliant #thumbs-up
this team is brilliant #toptastic
this team is fantastic #brilliant
this team is fantastic #brilliant
this team is fantastic #favorite
this team is fantastic #favorite
this team is fantastic #loveit
this team is fantastic #thumbs-up
this team is fantastic #thumbs-up
this team is great #favorite
this team is great #favorite
this team is great #thumbs-up
this team is great #thumbs-up
this team is really bad #fail
this team is really bad #nightmare
this team is really bad #thumbs-down
this team is really bad #worstever
this team is rubbish #hateit
this team is rubbish #nightmare
this team is rubbish #worstever
this team is terrible #fail
this team is terrible #hateit
this team is terrible #nightmare
this team is terrible #thumbs-down
this team is the best #favorite
this team is the best #loveit
this team is the best #thumbs-up
this team is the best #toptastic
winter is awful #fail
winter is awful #nightmare
winter is awful #thumbs-down
winter is fantastic #favorite
winter is really bad #fail
winter is terrible #hateit
winter is the best #favorite
